Feature Category,Feature Sub Category,Detailed Feature,Priority,"우선순위는 1이 낮고, 5가 높음"
카드 목록,검색,검색 - 제목,5,
카드 목록,,검색 - 설명,2,
카드 목록,,검색 - 태그,5,
카드 목록,필터,필터 - 스크랩,5,
카드 목록,,필터 - 나라,5,
카드 목록,,필터 - 도시,5,
카드 목록,,필터 - 테마,5,
카드 목록,,필터 - 카테고리 ( 관광지 / 음식점 / 카페 ),5,
카드 목록,정렬,정렬 - 빠른 획득순,5,
카드 목록,,정렬 - 느린 획득순,5,
카드 목록,,정렬 - 카드 이름순,5,
카드 목록,,정렬 - 도시 이름순,5,
카드 목록,,정렬 - 높은 등급순,5,
카드 목록,,정렬 - 낮은 등급순,5,
카드 목록,,정렬 - 최근 업데이트순,5,
카드 목록,목록 초기화,검색 필터 정렬 초기화 기능,5,
,,,,
카드 앞면,,클릭 시 상세화면 출력,5,
카드 앞면,,카드 스크랩 기능,5,
카드 앞면,,구글 링크 이동,5,
카드 앞면,,체크 박스 ( 플랜 - 카드 선택 기능 ),5,
,,,,
카드 뒷면 ( 상세 ),,상세 모달 기능,5,
카드 뒷면 ( 상세 ),,구글 링크 이동,5,
카드 뒷면 ( 상세 ),,구글 링크 복사,3,
카드 뒷면 ( 상세 ),,태그 등록 5개까지,5,
카드 뒷면 ( 상세 ),,태그 삭제,5,
카드 뒷면 ( 상세 ),,메모 수정,5,
카드 뒷면 ( 상세 ),,사진 슬라이드,5,
카드 뒷면 ( 상세 ),,디폴트 사진 보여주기,5,
카드 뒷면 ( 상세 ),,대표 사진 보여주기,5,
카드 뒷면 ( 상세 ),,커스텀 사진 등록,5,
카드 뒷면 ( 상세 ),,커스텀 사진 삭제,5,
카드 뒷면 ( 상세 ),,대표 사진 등록,5,
카드 뒷면 ( 상세 ),,상세 자동 저장,3,자동저장 안되면 그냥 버튼으로 처리 예정
,,,,
카드 탐험,검색,검색 및 드롭다운 - 나라명,5,
카드 탐험,,검색 및 드롭다운 - 도시명,5,
카드 탐험,,검색 - 제목,5,
카드 탐험,,검색 - 설명,2,
카드 탐험,,검색 - 태그,4,
카드 탐험,필터,필터 - 스크랩,5,
카드 탐험,,필터 - 나라,5,
카드 탐험,,필터 - 도시,5,
카드 탐험,,필터 - 테마,5,
카드 탐험,,필터 - 카테고리 ( 관광지 / 음식점 / 카페 ),5,
카드 탐험,,필터 - 보유여부,5,
카드 탐험,정렬,정렬 - 카드 이름순,5,
카드 탐험,,정렬 - 높은 등급순,5,
카드 탐험,,정렬 - 낮은 등급순,5,
카드 탐험,초기화,검색 필터 정렬 초기화 기능,4,
,,,,
플랜 목록,검색,검색 - 제목,5,
플랜 목록,,검색 - 설명,2,
플랜 목록,,검색 - 태그,2,
,,,,
플랜 목록,정렬,정렬 - 최근 등록순,5,
플랜 목록,,정렬 - 나중 등록순,5,
플랜 목록,,정렬 - 플랜 이름순,5,
플랜 목록,,정렬 - 최근 업데이트순,5,
,,,,
플랜 목록,필터,필터 - 나라별,2,
플랜 목록,,필터 - 도시별,2,
,,,,
플랜 목록,,카드 겹치기 ( 1일차 일정 카드 3개 까지 ),4,
플랜 목록,,플랜 추가,5,
,,,,
플랜 상세,,목록 가기,5,
플랜 상세,,제목 등록,5,
플랜 상세,,메모 보기 ( 메모 모달 구현 ),5,
플랜 상세,,메모 저장,5,
플랜 상세,,메모 삭제,5,
,,,,
플랜 상세,,플랜 자동저장,5,
,,플랜 삭제,5,
,,플랜 공유,2,
플랜 상세,,카드 선택 시 카드 목록 or 탐험 화면 으로 이동 ,5,
플랜 상세,,카드 선택 후 플랜 화면으로 이동,5,
플랜 상세,,카드 드래그앤드랍 ( 카드간 순서 변경 ),5,
플랜 상세,,카드 드래그앤드랍 ( 플랜에서 카드 제거 ),5,
플랜 상세,,브릿지 메모 등록,5,
플랜 상세,,브릿지 메모 수정,5,
플랜 상세,,브릿지 메모 삭제,5,
,,,,
플랜 상세,,일정 드롭다운 기능 추가,2,
플랜 상세,,일정 드롭다운 선택 시 해당 날짜로 이동,2,
플랜 상세,,일정 날짜별 일정 접기 ( 아코디언 형식 ),2,
,,,,
플랜 상세,,캘린더로 기간 선택하여 날짜 등록 & 수정,5,
,,,,
로그인,,로그인 제출,5,
,,자동로그인,4,
,,SSO,3,
,,비밀번호찾기,4,
,,아이디찾기,2,
,,토큰없으면 로그인화면으로 이동,5,
,,,,
회원가입,,form submit,5,
,,정규표현식 체크,5,
,,정규표현식에 따른 메시지 출력,5,
,,정규표현식에 따른 회원가입 버튼 비활성화 or 안내 메시지,5,
,,,,
마이페이지,,비밀번호 변경,4,
